title_id,permit_name,operator,mineral_type,status,issue_date,expiry_date,province,territory,latitude,longitude,source,year,distance_to_boundary_km,is_inside,latitude,longitude,source
PE-2505,Permit PE-2505,Artisanal Cooperatives,Diamond,Renewal,2023-01-01,2033-01-01,Ituri,Mambasa,1.2668675563417773,27.85060665623375,CAMI,2023,34.01,False,1.2668675563417773,27.85060665623375,CAMI
PE-2631,Permit PE-2631,Banro Corp,Diamond,Inactive,2016-01-01,2026-01-01,Ituri,Mambasa,2.792866802874971,28.17046326364401,CAMI,2016,37.67,False,2.792866802874971,28.17046326364401,CAMI
PE-9484,Permit PE-9484,Artisanal Cooperatives,Coltan,Inactive,2013-01-01,2023-01-01,Ituri,Mambasa,2.37517782804891,29.049042861361666,CAMI,2013,21.77,True,2.37517782804891,29.049042861361666,CAMI
PE-4751,Permit PE-4751,Kibali Gold,Wolframite,Renewal,2023-01-01,2033-01-01,Ituri,Mambasa,1.2339786542895808,28.09879005891336,CAMI,2023,28.24,True,1.2339786542895808,28.09879005891336,CAMI
PE-9112,Permit PE-9112,Artisanal Cooperatives,Gold,Active,2018-01-01,2028-01-01,Ituri,Mambasa,0.6579490531920644,29.34602428818195,CAMI,2018,41.35,False,0.6579490531920644,29.34602428818195,CAMI
PE-6371,Permit PE-6371,AngloGold Ashanti,Coltan,Active,2001-01-01,2011-01-01,Ituri,Mambasa,2.560346672591064,28.41146096970911,CAMI,2001,46.2,False,2.560346672591064,28.41146096970911,CAMI
PE-3729,Permit PE-3729,AngloGold Ashanti,Coltan,Inactive,2006-01-01,2016-01-01,Ituri,Mambasa,2.4400719664196533,27.89924177425899,CAMI,2006,13.03,False,2.4400719664196533,27.89924177425899,CAMI
PE-9747,Permit PE-9747,Banro Corp,Wolframite,Active,2026-01-01,2036-01-01,Ituri,Mambasa,2.1444655234917716,29.461693115074375,CAMI,2026,49.07,False,2.1444655234917716,29.461693115074375,CAMI
PE-2148,Permit PE-2148,Artisanal Cooperatives,Diamond,Active,2000-01-01,2010-01-01,Ituri,Mambasa,0.7279445068052164,28.9053748783353,CAMI,2000,44.59,False,0.7279445068052164,28.9053748783353,CAMI
PE-2737,Permit PE-2737,AngloGold Ashanti,Cassiterite,Active,2002-01-01,2012-01-01,Ituri,Mambasa,2.2636336191031163,28.097222301960418,CAMI,2002,28.42,True,2.2636336191031163,28.097222301960418,CAMI
PE-5502,Permit PE-5502,Artisanal Cooperatives,Gold,Expired,2002-01-01,2012-01-01,Ituri,Mambasa,2.4006884211825454,28.926366943316722,CAMI,2002,32.34,True,2.4006884211825454,28.926366943316722,CAMI
PE-4253,Permit PE-4253,Alphamin,Gold,Inactive,2004-01-01,2014-01-01,Ituri,Mambasa,0.7825546708628832,27.621327575917796,CAMI,2004,48.55,False,0.7825546708628832,27.621327575917796,CAMI
PE-2216,Permit PE-2216,AngloGold Ashanti,Coltan,Inactive,2016-01-01,2026-01-01,Ituri,Mambasa,2.568578638016059,28.77083342522556,CAMI,2016,48.28,False,2.568578638016059,28.77083342522556,CAMI
PE-8563,Permit PE-8563,Kibali Gold,Diamond,Renewal,2021-01-01,2031-01-01,Ituri,Mambasa,2.2646135367226217,28.37485252397879,CAMI,2021,49.19,True,2.2646135367226217,28.37485252397879,CAMI
PE-2051,Permit PE-2051,Kibali Gold,Gold,Expired,2001-01-01,2011-01-01,Ituri,Mambasa,2.174072168282633,29.214842689081777,CAMI,2001,36.28,False,2.174072168282633,29.214842689081777,CAMI
PE-8236,Permit PE-8236,Kibali Gold,Gold,Active,2020-01-01,2030-01-01,Ituri,Mambasa,2.470541213897844,28.107939985424103,CAMI,2020,12.43,True,2.470541213897844,28.107939985424103,CAMI
PE-4360,Permit PE-4360,Alphamin,Cassiterite,Inactive,2010-01-01,2020-01-01,Ituri,Mambasa,2.2132159074426268,29.31128443527764,CAMI,2010,34.2,False,2.2132159074426268,29.31128443527764,CAMI
PE-6908,Permit PE-6908,Alphamin,Coltan,Expired,2017-01-01,2027-01-01,Ituri,Mambasa,2.352333685777191,29.53513381039873,CAMI,2017,40.69,False,2.352333685777191,29.53513381039873,CAMI
PE-4922,Permit PE-4922,Banro Corp,Diamond,Renewal,2006-01-01,2016-01-01,Ituri,Mambasa,2.5361184383333764,28.103341298047244,CAMI,2006,12.16,False,2.5361184383333764,28.103341298047244,CAMI
PE-8091,Permit PE-8091,Banro Corp,Coltan,Active,2025-01-01,2035-01-01,Ituri,Mambasa,0.8351984421291001,29.400558811891116,CAMI,2025,28.86,False,0.8351984421291001,29.400558811891116,CAMI
PE-5785,Permit PE-5785,AngloGold Ashanti,Cassiterite,Inactive,2002-01-01,2012-01-01,Ituri,Mambasa,2.369649788810341,27.730539008596608,CAMI,2002,33.26,False,2.369649788810341,27.730539008596608,CAMI
PE-3689,Permit PE-3689,Banro Corp,Wolframite,Renewal,2012-01-01,2022-01-01,Ituri,Mambasa,2.270577437422599,29.402954824925036,CAMI,2012,34.05,False,2.270577437422599,29.402954824925036,CAMI
PE-8326,Permit PE-8326,AngloGold Ashanti,Cassiterite,Expired,2024-01-01,2034-01-01,Ituri,Mambasa,0.9540236287948243,28.75956064354052,CAMI,2024,49.23,False,0.9540236287948243,28.75956064354052,CAMI
PE-2091,Permit PE-2091,Artisanal Cooperatives,Gold,Inactive,2025-01-01,2035-01-01,Ituri,Mambasa,0.7315568785764649,27.843839643985124,CAMI,2025,34.53,False,0.7315568785764649,27.843839643985124,CAMI
